co2;temp;hum;label
30944.37;31.31;74.85;2
27981.3;31.28;70.3;2
26188.93;31.23;67.24;2
27457.1;31.3;70.43;2
27568.63;31.3;74.29;2
28640.84;31.37;75.11;2
28712.3;31.39;77.04;2
28531.58;31.43;77.26;2
28203.3;31.43;76.62;2
26325.69;31.49;76.38;2
29033.18;31.51;76.7;2
32286.64;31.51;76.27;2
28403.86;31.54;77.99;2
32687.97;31.58;76.82;2
33045.4;31.55;77.01;2
29436.43;31.49;72.83;2
16846.27;31.54;69.51;2
23671.71;31.37;66.27;2
25365.87;31.41;66.94;2
25546.26;31.44;71.28;2
25161.64;31.49;72.0;2
24330.02;31.47;71.53;2
25688.99;31.47;71.62;2
25324.03;31.53;71.43;2
25321.12;31.51;71.07;2
25420.21;31.55;71.92;2
24886.0;31.57;72.51;2
26080.97;31.55;70.42;2
29197.34;31.64;74.94;2
30481.76;31.64;72.67;2
32362.04;31.7;74.85;2
31406.05;31.68;74.35;2
32693.95;31.75;74.45;2
29272.34;31.71;74.11;2
31854.93;31.75;71.85;2
33311.7;31.75;74.61;2
33435.22;31.81;74.62;2
29090.78;31.82;72.92;2
26787.7;31.81;70.73;2
29935.33;31.85;73.63;2
27766.33;31.84;74.2;2
30739.45;31.9;75.54;2
31492.8;31.84;77.29;2
30559.42;31.9;75.96;2
32659.91;31.91;76.31;2
29618.95;31.85;76.52;2
27999.36;31.72;74.41;2
29534.46;31.82;72.05;2
29999.59;31.72;75.42;2
33156.83;31.8;75.93;2
31246.3;31.74;74.9;2
32853.92;31.8;76.02;2
17351.09;31.75;76.95;2
21645.64;31.31;63.04;2
33815.78;31.54;61.83;2
30259.55;31.61;71.85;2
32231.46;31.65;72.63;2
27427.8;31.62;76.97;2
31637.46;31.7;77.68;2
30258.92;31.62;74.34;2
32311.72;31.7;76.22;2
34394.92;31.74;77.82;2
35182.4;31.75;77.82;2
33015.92;31.77;77.72;2
31138.84;31.81;77.26;2
40000.0;31.7;71.97;2
30537.77;31.8;76.05;2
29944.76;31.74;72.78;2
34181.9;31.74;71.43;2
33587.37;31.71;76.18;2
34255.58;31.78;77.28;2
36549.37;31.78;77.4;2
35702.88;31.81;79.94;2
35974.92;31.85;80.2;2
33856.09;31.87;79.65;2
36213.79;31.87;76.8;2
30803.15;31.82;78.88;2
30179.04;31.9;78.36;2
31885.8;31.87;77.7;2
27738.5;31.87;79.71;2
29256.06;31.9;76.05;2
